anime_id,title,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,premiered,studio,genre
11013,Inu x Boku SS,TV,Manga,12,Finished Airing,7.63,139250,1274.0,231,283882,2809,Winter 2012,David Production,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,TV,Manga,26,Finished Airing,7.89,91206,727.0,366,204003,2579,Spring 2007,Gonzo,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,TV,Manga,51,Finished Airing,7.55,37129,1508.0,1173,70127,802,Fall 2008,Satelight,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,TV,Original,38,Finished Airing,8.21,36501,307.0,916,93312,3344,Summer 2002,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,TV,Manga,25,Finished Airing,8.67,107767,50.0,426,182765,2082,Fall 2012,J.C.Staff,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro Pâtissière,TV,Manga,50,Finished Airing,8.03,21618,526.0,1630,45625,826,Fall 2009,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo"
178,Ultra Maniac,TV,Manga,26,Finished Airing,7.26,9663,2594.0,2490,22778,122,Spring 2003,Production Reed,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),TV,Light novel,24,Finished Airing,7.72,126085,1066.0,332,220591,1075,Fall 2007,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,TV,Manga,11,Finished Airing,8.24,53908,281.0,988,85660,282,Fall 2008,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,TV,Manga,26,Finished Airing,8.34,335137,205.0,69,538843,24072,Spring 2006,Bones,"Comedy, Harem, Romance, School, Shoujo"
4814,Junjou Romantica 2,TV,Manga,12,Finished Airing,8.15,66565,374.0,799,108186,1123,Fall 2008,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
7054,Kaichou wa Maid-sama!,TV,Manga,26,Finished Airing,8.2,315130,314.0,71,531292,14436,Spring 2010,J.C.Staff,"Comedy, Romance, School, Shoujo"
11123,Sekaiichi Hatsukoi 2,TV,Manga,12,Finished Airing,8.23,53285,288.0,945,89543,726,Fall 2011,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
14227,Tonari no Kaibutsu-kun,TV,Manga,13,Finished Airing,7.71,281448,1093.0,88,482105,4064,Fall 2012,Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo"
269,Bleach,TV,Manga,366,Finished Airing,7.9,433097,693.0,18,819284,40718,Fall 2004,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
6045,Kimi ni Todoke,TV,Manga,25,Finished Airing,8.13,212710,400.0,111,417136,8041,Fall 2009,Production I.G,"Slice of Life, Drama, Romance, School, Shoujo"
1735,Naruto: Shippuuden,TV,Manga,500,Finished Airing,8.18,385179,337.0,20,794112,42846,Winter 2007,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
210,Ranma ½,TV,Manga,161,Finished Airing,7.85,59911,802.0,623,134537,2742,Spring 1989,Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy"
4224,Toradora!,TV,Light novel,25,Finished Airing,8.39,557898,174.0,13,910373,35322,Fall 2008,J.C.Staff,"Slice of Life, Comedy, Romance, School"
10030,Bakuman. 2nd Season,TV,Manga,25,Finished Airing,8.49,122090,108.0,374,201720,1023,Fall 2011,J.C.Staff,"Comedy, Drama, Romance, Shounen"
74,Gakuen Alice,TV,Manga,26,Finished Airing,7.77,33244,941.0,1291,62951,1403,Fall 2004,Group TAC,"Comedy, School, Shoujo, Super Power"
4722,Skip Beat!,TV,Manga,25,Finished Airing,8.24,90699,282.0,488,164738,4668,Fall 2008,Hal Film Maker,"Comedy, Drama, Romance, Shoujo"
